id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
52231891737,65535,8124457934,Gondola Queue,gondola italia italy venezia venice queue collage,874,,2019-05-15 16:58:46,45.434194,12.337152,https://live.staticflickr.com/65535/52231891737_8124457934_m.jpg,FotoFling Scotland,11451860@N08,photo
36728683625,4375,5783c174ce,The line up,basilicadesanmarco tourists architecture venice d810 columns arches statues paintings relief queue piazzasanmarco,1245,"Venice, Italy.",2017-05-31 18:33:01,45.434222,12.339105,https://live.staticflickr.com/4375/36728683625_5783c174ce_m.jpg,BAN - photography,61023200@N02,photo
52231891737,65535,8124457934,Gondola Queue,gondola italia italy venezia venice queue collage,874,,2019-05-15 16:58:46,45.434194,12.337152,https://live.staticflickr.com/65535/52231891737_8124457934_m.jpg,FotoFling Scotland,11451860@N08,photo
36728683625,4375,5783c174ce,The line up,basilicadesanmarco tourists architecture venice d810 columns arches statues paintings relief queue piazzasanmarco,1245,"Venice, Italy.",2017-05-31 18:33:01,45.434222,12.339105,https://live.staticflickr.com/4375/36728683625_5783c174ce_m.jpg,BAN - photography,61023200@N02,photo
31064558141,5615,c8dc8820ae,Gondoliers,venice queue rush hour canal stripe gondola waterway italy man romance busy line order,606,SONY DSC,2016-07-04 09:58:10,45.436508,12.338429,https://live.staticflickr.com/5615/31064558141_c8dc8820ae_m.jpg,James Woodward,8655354@N05,photo
17010664829,7673,e74907e3a9,Rush Hour,venice blackandwhite bw italy holiday apple monochrome square canal europe italia tourists queue gondola rushhour venezia trafficjam grandcanal 4s iphone hipstamatic ©peterhall 20150327095043edwm,1079,"<a href=""https://www.justgiving.com/PeterTHall/"" rel=""nofollow"">Please sponsor me !</a>  iPhone via Hipstamatic  Venice, Italy",2015-03-27 09:50:43,45.432994,12.335597,https://live.staticflickr.com/7673/17010664829_e74907e3a9_m.jpg,peterphotographic,25937668@N08,photo
7270181138,8164,f6146df702,Choosing an Icecream,venice people italy london italian europe italia photographer queue icecream gelateria venezia apps iphone viveca ipics phoneography iphoneography itogs instagram,307,"via Instagram <a href=""http://instagr.am/p/LEPdfrjN4f/"" rel=""nofollow"">instagr.am/p/LEPdfrjN4f/</a>  © Viveca Koh - Please do not use my images without permission.  <a href=""http://www.vivecakohphotography.com"" target=""_blank"" rel=""nofollow"">Website</a> | <a href=""http://www.vivecakohphotography.co.uk"" target=""_blank"" rel=""nofollow"">Blog</a> | <a href=""http://twitter.com/VivecaKohPhotog"" target=""_blank"" rel=""nofollow"">Twitter</a> | <a href=""https://plus.google.com/u/0/114717628655880877243/posts"" target=""_blank"" rel=""nofollow"">G+</a> | <a href=""https://www.facebook.com/pages/Viveca-Koh-Fine-Art-Photography-Digital-Image-Manipulation/121265161232998"" target=""_blank"" rel=""nofollow"">Facebook</a>",2012-05-25 23:35:22,45.438912,12.342120,https://live.staticflickr.com/8164/7270181138_f6146df702_m.jpg,Viveca Koh FRPS,30334572@N08,photo
5968548284,6010,dcb42b7924,Waiting for St. Mark's Entry,venice vacation italy church square italia basilica grand line chiesa queue piazza venezia stmarks,282,The square outside of St. Mark's was always busy and full of people. It is truly an amazing public space.,2011-07-19 00:58:52,45.433989,12.339524,https://live.staticflickr.com/6010/5968548284_dcb42b7924_m.jpg,Randy Son Of Robert,46042146@N00,photo
5102381351,1077,a93367558a,High tide,venice people italy reflections italia basilica line queue venezia sanmarco hightide piazzasanmarco refleksjoner markusplassen basilicaofsanmarco iphone4 høyvann,491,"Venezia, Italy",2010-10-19 11:05:09,45.433833,12.339666,https://live.staticflickr.com/1077/5102381351_a93367558a_m.jpg,c3nes,7267977@N08,photo
3387357428,3618,8dcf97f648,a venice traffic jam,venice italy alley italia traffic queue gondola jam venezia stmarks sanmarco veneto venice2009,61,,2009-03-24 15:26:54,45.433594,12.341240,https://live.staticflickr.com/3618/3387357428_8dcf97f648_m.jpg,paddimir,50994135@N00,photo
3013772390,3024,17f2046e46,Poussez-pas derrière,venice italy colour rain italia colore basilica pluie file queue venise venezia pioggia couleur italie sanmarco coda basilique attesa attente veneto,407,"Sous la pluie, la file d'attente était aussi colorée que les plafonds de la basilique",2008-10-31 14:07:33,45.434474,12.339320,https://live.staticflickr.com/3024/3013772390_17f2046e46_m.jpg,Boccalupo,30088704@N07,photo
2957963405,3038,6d4c3b91cd,Gondola taxi,old city trip venice summer vacation sky people italy house holiday color building brick tourism water pool architecture boat canal italian waiting colorful day cityscape place ride many taxi seat traditional parking famous transport scenic atmosphere grand scene tourist tourists romance architectural historic line queue buy romantic historical gondola venetian luxury choose gondolier gondolas venicecanals travelphoto tamron1750 nikond80 buytravelphotos bacinoorseolo taxipool zoommer buyphotoof buytravelphoto buyprofessionalphotoof buystockphotoof,863,Gondolas parking in Venice. Tourists choose gondolas for traditional venetian gondola ride. Bacino Orseolo,2008-10-20 21:45:10,45.434162,12.337045,https://live.staticflickr.com/3038/2957963405_6d4c3b91cd_m.jpg,ZooMMER - Travel Stock Photos,15614926@N04,photo
